,precision,recall,f1-score,support
Apple___Apple_scab,1.0,1.0,1.0,7.0
Apple___Black_rot,1.0,1.0,1.0,4.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,1.0
Apple___healthy,1.0,1.0,1.0,11.0
Blueberry___healthy,1.0,1.0,1.0,18.0
Cherry_(including_sour)___Powdery_mildew,1.0,1.0,1.0,9.0
Cherry_(including_sour)___healthy,1.0,1.0,1.0,11.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.875,1.0,0.9333333333333333,7.0
Corn_(maize)___Common_rust_,1.0,1.0,1.0,12.0
Corn_(maize)___Northern_Leaf_Blight,1.0,0.6666666666666666,0.8,6.0
Corn_(maize)___healthy,0.9090909090909091,1.0,0.9523809523809523,10.0
Grape___Black_rot,0.5882352941176471,1.0,0.7407407407407407,10.0
Grape___Esca_(Black_Measles),1.0,0.4166666666666667,0.5882352941176471,12.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,7.0
Grape___healthy,1.0,1.0,1.0,8.0
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,45.0
Peach___Bacterial_spot,1.0,1.0,1.0,29.0
Peach___healthy,1.0,1.0,1.0,1.0
"Pepper,_bell___Bacterial_spot",1.0,1.0,1.0,10.0
"Pepper,_bell___healthy",1.0,1.0,1.0,12.0
Potato___Early_blight,1.0,1.0,1.0,16.0
Potato___Late_blight,1.0,1.0,1.0,8.0
Potato___healthy,1.0,1.0,1.0,2.0
Raspberry___healthy,1.0,1.0,1.0,3.0
Soybean___healthy,1.0,1.0,1.0,49.0
Squash___Powdery_mildew,1.0,1.0,1.0,12.0
Strawberry___Leaf_scorch,0.9090909090909091,1.0,0.9523809523809523,10.0
Strawberry___healthy,1.0,1.0,1.0,2.0
Tomato___Bacterial_spot,1.0,1.0,1.0,17.0
Tomato___Early_blight,0.8888888888888888,1.0,0.9411764705882353,8.0
Tomato___Late_blight,1.0,0.8695652173913043,0.9302325581395349,23.0
Tomato___Leaf_Mold,1.0,1.0,1.0,3.0
Tomato___Septoria_leaf_spot,1.0,1.0,1.0,15.0
Tomato___Spider_mites Two-spotted_spider_mite,1.0,0.9444444444444444,0.9714285714285714,18.0
Tomato___Target_Spot,0.9130434782608695,1.0,0.9545454545454546,21.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,1.0,1.0,46.0
Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,2.0
Tomato___healthy,1.0,1.0,1.0,15.0
accuracy,0.974,0.974,0.974,0.974
macro avg,0.9758776178802426,0.9709827103991864,0.9674856402014584,500.0
weighted avg,0.9809483905551681,0.974,0.972606225501711,500.0
